player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
2273,4,50000,21316,0,28684,15106,1871,33023
2273,5,50000,22734,0,27266,15134,1973,32893
2273,6,50000,22321,0,27679,15400,1903,32697
2273,7,50000,13101,0,36899,14413,2602,32985
2273,8,50000,11919,0,38081,13847,3028,33125
2273,9,50000,11356,0,38644,12296,3143,34561
2273,K,50000,10725,0,39275,9944,3162,36894
2273,A,50000,6489,0,43511,7627,3208,39165
2274,2,50000,18268,0,31732,12874,2106,35020
2274,3,50000,19419,0,30581,13122,2128,34750
2274,4,50000,21117,0,28883,13412,1923,34665
2274,5,50000,23003,0,26997,13942,1662,34396
2274,6,50000,22301,0,27699,14063,1802,34135
2274,7,50000,13257,0,36743,14748,2173,33079
2274,8,50000,11766,0,38234,13190,2924,33886
2274,9,50000,11407,0,38593,11894,2679,35427
2274,K,50000,10637,0,39363,9921,3093,36986
2274,A,50000,6458,0,43542,7444,3301,39255
2275,2,50000,18644,0,31356,10738,2103,37159
2275,3,50000,19663,0,30337,10909,2010,37081
2275,4,50000,21304,0,28696,10904,1979,37117
2275,5,50000,22886,0,27114,11180,1780,37040
2275,6,50000,22476,0,27524,12742,1832,35426
2275,7,50000,12935,0,37065,12513,2790,34697
2275,8,50000,11703,0,38297,11710,2356,35934
2275,9,50000,11461,0,38539,10279,2981,36740
2275,K,50000,10300,0,39700,8277,2967,38756
2275,A,50000,6562,0,43438,6416,3030,40554
2276,2,50000,18477,6897,24626,9667,1718,38615
2276,3,50000,19501,6629,23870,9753,1637,38610
2276,4,50000,21235,6273,22492,9947,1606,38447
2276,5,50000,22651,4846,22503,10926,1695,37379
2276,6,50000,21673,8339,19988,11242,1472,37286
2276,7,50000,12779,19388,17833,11979,1253,36768
2276,8,50000,11688,6547,31765,10883,2447,36670
2276,9,50000,11464,6130,32406,9954,2060,37986
2276,K,50000,10242,4905,34853,8145,2807,39048
2276,A,50000,6854,5124,38022,6015,2954,41031
2277,2,50000,25413,6527,18060,7256,1162,41582
2277,3,50000,26149,6491,17360,7227,1073,41700
2277,4,50000,27163,5878,16959,8442,1191,40367
2277,5,50000,26857,5983,17160,8258,1209,40533
2277,6,50000,29867,4062,16071,8562,1135,40303
