player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
222244AAAA,4,50000,38110,6151,5739,0,0,50000
222244AAAA,5,50000,38860,5190,5950,0,0,50000
222244AAAA,6,50000,39571,4268,6161,0,0,50000
222244AAAA,7,50000,42271,4297,3432,0,0,50000
222244AAAA,8,50000,43670,2331,3999,0,0,50000
222244AAAA,9,50000,45942,1954,2104,0,0,50000
222244AAAA,K,50000,28614,19606,1780,0,0,50000
22224A3AAA,3,50000,31836,6197,11967,0,0,50000
22224A3AAA,4,50000,31529,6511,11960,0,0,50000
22224A3AAA,5,50000,33251,5487,11262,0,0,50000
22224A3AAA,6,50000,32807,5868,11325,0,0,50000
22224A3AAA,7,50000,39101,2778,8121,0,0,50000
22224A3AAA,8,50000,41489,2448,6063,0,0,50000
22224A3AAA,9,50000,24418,21372,4210,0,0,50000
22224A3AAA,K,50000,22192,6276,21532,0,0,50000
22224A4AAA,3,50000,38071,6059,5870,0,0,50000
22224A4AAA,4,50000,38097,6112,5791,0,0,50000
22224A4AAA,5,50000,38624,5533,5843,0,0,50000
22224A4AAA,6,50000,39511,4430,6059,0,0,50000
22224A4AAA,7,50000,42245,4370,3385,0,0,50000
22224A4AAA,8,50000,43610,2279,4111,0,0,50000
22224A4AAA,9,50000,45922,1993,2085,0,0,50000
22224A4AAA,K,50000,28425,19758,1817,0,0,50000
22224AA3AA,3,50000,31812,6198,11990,0,0,50000
22224AA3AA,4,50000,31672,6384,11944,0,0,50000
22224AA3AA,5,50000,33243,5575,11182,0,0,50000
22224AA3AA,6,50000,32938,5566,11496,0,0,50000
22224AA3AA,7,50000,39036,2848,8116,0,0,50000
22224AA3AA,8,50000,41628,2351,6021,0,0,50000
22224AA3AA,9,50000,24482,21401,4117,0,0,50000
22224AA3AA,K,50000,22117,6266,21617,0,0,50000
22224AA4AA,3,50000,37889,6140,5971,0,0,50000
22224AA4AA,4,50000,38180,5970,5850,0,0,50000
22224AA4AA,5,50000,38618,5371,6011,0,0,50000
22224AA4AA,6,50000,39479,4457,6064,0,0,50000
22224AA4AA,7,50000,42332,4339,3329,0,0,50000
22224AA4AA,8,50000,43773,2285,3942,0,0,50000
22224AA4AA,9,50000,46098,1906,1996,0,0,50000
22224AA4AA,K,50000,28773,19529,1698,0,0,50000
22224AAA3A,3,50000,32032,6099,11869,0,0,50000
22224AAA3A,4,50000,31502,6576,11922,0,0,50000
22224AAA3A,5,50000,33147,5589,11264,0,0,50000
22224AAA3A,6,50000,33095,5635,11270,0,0,50000
22224AAA3A,7,50000,39150,2784,8066,0,0,50000
22224AAA3A,8,50000,41539,2303,6158,0,0,50000
22224AAA3A,9,50000,24526,21275,4199,0,0,50000
22224AAA3A,K,50000,22261,6289,21450,0,0,50000
22224AAA4A,3,50000,38033,6053,5914,0,0,50000
22224AAA4A,4,50000,38323,5993,5684,0,0,50000
22224AAA4A,5,50000,38482,5365,6153,0,0,50000
22224AAA4A,6,50000,39623,4435,5942,0,0,50000
22224AAA4A,7,50000,42211,4369,3420,0,0,50000
22224AAA4A,8,50000,43571,2357,4072,0,0,50000
22224AAA4A,9,50000,45894,1983,2123,0,0,50000
22224AAA4A,K,50000,28694,19489,1817,0,0,50000
22224AAAA3,3,50000,31669,6147,12184,0,0,50000
22224AAAA3,4,50000,31456,6637,11907,0,0,50000
22224AAAA3,5,50000,33196,5573,11231,0,0,50000
22224AAAA3,6,50000,32974,5748,11278,0,0,50000
22224AAAA3,7,50000,39378,2709,7913,0,0,50000
22224AAAA3,8,50000,41510,2295,6195,0,0,50000
22224AAAA3,9,50000,24475,21318,4207,0,0,50000
22224AAAA3,K,50000,22240,6344,21416,0,0,50000
22224AAAA4,3,50000,37990,6044,5966,0,0,50000
22224AAAA4,4,50000,38126,6052,5822,0,0,50000
22224AAAA4,5,50000,38699,5336,5965,0,0,50000
