player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
222243A4,8,0,50000,44633,2051,3316,3232,232,46536
222243A4,9,0,50000,42930,5224,1846,3415,116,46469
222243A4,K,0,50000,26430,18650,4920,3235,255,46510
222243A4,A,0,50000,23131,6411,20458,1330,1023,47647
222243AA,3,0,50000,19173,5853,24974,6021,1027,42952
222243AA,4,0,50000,21122,5277,23601,5875,975,43150
222243AA,5,0,50000,24689,2902,22409,6987,1119,41894
222243AA,6,0,50000,25842,5523,18635,7178,902,41920
222243AA,7,0,50000,14804,20459,14737,8066,638,41296
222243AA,8,0,50000,13146,6266,30588,7127,1351,41522
222243AA,9,0,50000,12572,5801,31627,7284,690,42026
222243AA,K,0,50000,10350,5356,34294,5875,1874,42251
222243AA,A,0,50000,5539,5440,39021,3965,2034,44001
2222443A,3,0,50000,37378,6484,6138,3060,398,46542
2222443A,4,0,50000,37333,6440,6227,3082,429,46489
2222443A,5,0,50000,38244,5471,6285,3131,428,46441
2222443A,6,0,50000,39871,4403,5726,2993,433,46574
2222443A,7,0,50000,43040,3547,3413,3304,224,46472
2222443A,8,0,50000,44479,2131,3390,3256,250,46494
2222443A,9,0,50000,42800,5293,1907,3351,141,46508
2222443A,K,0,50000,26534,18469,4997,3230,288,46482
2222443A,A,0,50000,23131,6446,20423,1322,919,47759
222244A3,3,0,50000,37378,6458,6164,3071,431,46498
222244A3,4,0,50000,37315,6471,6214,2994,421,46585
222244A3,5,0,50000,38463,5375,6162,3028,418,46554
222244A3,6,0,50000,39995,4232,5773,3082,414,46504
222244A3,7,0,50000,42903,3617,3480,3156,253,46591
222244A3,8,0,50000,44493,2057,3450,3234,274,46492
222244A3,9,0,50000,42883,5235,1882,3291,115,46594
222244A3,K,0,50000,26310,18732,4958,3238,291,46471
222244A3,A,0,50000,23336,6468,20196,1324,920,47756
222244AA,3,0,50000,24925,6295,18780,4426,697,44877
222244AA,4,0,50000,27472,4292,18236,5519,849,43632
222244AA,5,0,50000,27915,5818,16267,5552,790,43658
222244AA,6,0,50000,31324,2691,15985,5701,893,43406
222244AA,7,0,50000,35290,4630,10080,6113,488,43399
222244AA,8,0,50000,18937,20365,10698,6074,474,43452
222244AA,9,0,50000,18513,4850,26637,5589,1156,43255
222244AA,K,0,50000,15687,5631,28682,5147,644,44209
222244AA,A,0,50000,11022,5745,33233,3082,2132,44786
222245AA,3,0,50000,31198,6398,12404,1779,308,47913
222245AA,4,0,50000,32341,5539,12120,1722,271,48007
222245AA,5,0,50000,33750,5632,10618,1844,216,47940
222245AA,6,0,50000,34278,5959,9763,1873,248,47879
222245AA,7,0,50000,39598,2750,7652,2018,192,47790
222245AA,8,0,50000,39718,4451,5831,2081,102,47817
222245AA,9,0,50000,23487,20435,6078,2026,122,47852
222245AA,K,0,50000,21309,6162,22529,1229,905,47866
222245AA,A,0,50000,16800,6330,26870,541,178,49281
222246AA,3,0,50000,37799,6267,5934,2023,307,47670
222246AA,4,0,50000,38670,5402,5928,1990,272,47738
222246AA,5,0,50000,39417,5313,5270,2147,248,47605
222246AA,6,0,50000,39525,5048,5427,2005,247,47748
222246AA,7,0,50000,42224,4154,3622,2133,162,47705
222246AA,8,0,50000,44231,2116,3653,2100,204,47696
222246AA,9,0,50000,43841,4304,1855,2160,99,47741
222246AA,K,0,50000,27335,18767,3898,2184,131,47685
222246AA,A,0,50000,22953,6415,20632,673,503,48824
22224A33,3,0,50000,31298,6371,12331,2594,422,46984
22224A33,4,0,50000,30793,6450,12757,2723,435,46842
22224A33,5,0,50000,32750,5522,11728,2589,353,47058
22224A33,6,0,50000,34820,4153,11027,2740,372,46888
22224A33,7,0,50000,40539,2311,7150,2970,285,46745
22224A33,8,0,50000,39414,5491,5095,3125,172,46703
22224A33,9,0,50000,22381,20204,7415,3080,297,46623
22224A33,K,0,50000,20552,5666,23782,1853,1286,46861
22224A33,A,0,50000,16944,6052,27004,1084,290,48626
22224A34,3,0,50000,37350,6423,6227,3135,421,46444
22224A34,4,0,50000,37353,6430,6217,2920,417,46663
22224A34,5,0,50000,38238,5502,6260,3134,423,46443
22224A34,6,0,50000,40134,4295,5571,3139,401,46460
22224A34,7,0,50000,42776,3601,3623,3253,248,46499
22224A34,8,0,50000,44528,2048,3424,3173,229,46598
22224A34,9,0,50000,42800,5350,1850,3406,143,46451
22224A34,K,0,50000,26343,18665,4992,3167,258,46575
22224A34,A,0,50000,23045,6369,20586,1382,1010,47608
22224A3A,3,0,50000,19292,5679,25029,6031,1098,42871
22224A3A,4,0,50000,21270,5391,23339,5861,1009,43130
22224A3A,5,0,50000,24889,2702,22409,7011,1091,41898
22224A3A,6,0,50000,25866,5464,18670,7177,933,41890
22224A3A,7,0,50000,14934,20318,14748,7830,641,41529
22224A3A,8,0,50000,12998,6304,30698,7260,1337,41403
22224A3A,9,0,50000,12769,5706,31525,7333,676,41991
22224A3A,K,0,50000,10373,5507,34120,5889,1868,42243
22224A3A,A,0,50000,5593,5455,38952,3897,2009,44094
22224A43,3,0,50000,37361,6507,6132,3021,435,46544
22224A43,4,0,50000,37006,6721,6273,3133,415,46452
22224A43,5,0,50000,38293,5508,6199,3076,468,46456
22224A43,6,0,50000,40067,4163,5770,3087,436,46477
22224A43,7,0,50000,43092,3546,3362,3146,238,46616
22224A43,8,0,50000,44558,2105,3337,3234,230,46536
22224A43,9,0,50000,42806,5315,1879,3416,149,46435
22224A43,K,0,50000,26369,18562,5069,3278,275,46447
22224A43,A,0,50000,23132,6263,20605,1391,915,47694
22224A4A,3,0,50000,24880,6347,18773,4403,685,44912
22224A4A,4,0,50000,27150,4071,18779,5499,925,43576
22224A4A,5,0,50000,27830,5969,16201,5699,827,43474
22224A4A,6,0,50000,31474,2707,15819,5772,812,43416
22224A4A,7,0,50000,35342,4654,10004,6215,470,43315
22224A4A,8,0,50000,19132,20363,10505,6248,489,43263
22224A4A,9,0,50000,18567,4927,26506,5594,1123,43283
22224A4A,K,0,50000,15774,5744,28482,5217,684,44099
22224A4A,A,0,50000,11246,5622,33132,3192,2025,44783
22224A5A,3,0,50000,31316,6334,12350,1748,289,47963
22224A5A,4,0,50000,32163,5515,12322,1731,296,47973
22224A5A,5,0,50000,33998,5503,10499,1866,204,47930
22224A5A,6,0,50000,34326,5980,9694,1903,253,47844
22224A5A,7,0,50000,39709,2697,7594,1900,184,47916
22224A5A,8,0,50000,39704,4540,5756,2041,117,47842
22224A5A,9,0,50000,23460,20480,6060,2108,165,47727
22224A5A,K,0,50000,21497,6199,22304,1372,849,47779
22224A5A,A,0,50000,17049,6236,26715,530,127,49343
22224A6A,3,0,50000,37578,6302,6120,2044,250,47706
22224A6A,4,0,50000,38594,5510,5896,2010,237,47753
22224A6A,5,0,50000,39544,5385,5071,2086,233,47681
22224A6A,6,0,50000,39519,5048,5433,2116,262,47622
22224A6A,7,0,50000,42233,4109,3658,2103,165,47732
22224A6A,8,0,50000,43950,2270,3780,2144,170,47686
22224A6A,9,0,50000,44002,4155,1843,2286,99,47615
22224A6A,K,0,50000,27530,18634,3836,2196,123,47681
22224A6A,A,0,50000,22812,6535,20653,671,512,48817
